,artist
225,Marshmello & Bastille
226,Marshmello & Khalid
227,Martin Garrix
228,Martin Garrix & Bebe Rexha
229,Martin Garrix & Dua Lipa
230,Matt Simons
231,Meghan Trainor
232,Meghan Trainor & John Legend
233,Michael Jackson & Justin Timberlake
234,Migos
235,Migos & Drake
236,Migos & Lil Uzi Vert
237,"Migos, Nicki Minaj & Cardi B"
238,Mike Perry & Shy Martin
239,Mike Posner
240,Miley Cyrus
241,Milky Chance
242,Mr Probz
243,NF
244,Natalie La Rose & Jeremih
245,Naughty Boy & Sam Smith
246,Niall Horan
247,Nick Jonas
248,Nick Jonas & Tove Lo
249,Nicki Minaj
250,Nicky Jam & Enrique Iglesias
251,Nicky Jam & J Balvin
252,Nico & Vinz
253,OMI
254,Offset & Metro Boomin
255,Omarion & Chris Brown & Jhene Aiko
256,One Direction
257,OneRepublic
258,Panic! At the Disco
259,Paramore
260,Passenger
261,Pharrell Williams
262,Pink
263,Pitbull & John Ryan
264,Pitbull & Ke$ha
265,Pitbull & Ne-Yo
266,"Portugal, The Man"
267,Post Malone
268,Post Malone & 21 Savage
269,Post Malone & Quavo
270,Post Malone & Ty Dolla Sign
271,R City & Adam Levine
272,Rachel Platten
273,Rae Sremmurd
274,Rae Sremmurd & Gucci Mane
275,Rag'n'Bone Man
276,Rich Homie Quan
277,Rich The Kid
278,Rihanna
279,Rihanna & Calvin Harris
280,Rihanna & Drake
281,Rihanna & Eminem
282,"Rihanna, Kanye West & Paul McCartney"
283,Rixton
284,Robin Schulz & Francesco Yates
285,Robin Schulz & James Blunt
286,"Robin Thicke, T.I. & Pharrell Williams"
287,Route 94 & Jess Glynne
288,"Rudimental, Jess Glynne, Macklemore & Dan Caplen"
289,Ruth B
290,Sam Hunt
291,Sam Smith
292,Selena Gomez
293,Selena Gomez & ASAP Rocky
294,Selena Gomez & Marshmello
295,Shakira & Maluma
296,Shakira & Rihanna
297,Shawn Mendes
298,Sheck Wes
299,Sia
300,Sia & Kendrick Lamar
301,Sido & Andreas Bourani
302,Sigma
303,Silento
304,Skrillex & Diplo
305,Starley
306,Stereoact & Kerstin Ott
307,T-Wayne
308,Taylor Swift
309,Taylor Swift & Kendrick Lamar
310,The Chainsmokers
311,The Chainsmokers & Coldplay
312,The Chainsmokers & Daya
313,The Chainsmokers & Halsey
314,The Chainsmokers & Rozes
315,The Weeknd
316,The Weeknd & Daft Punk
